Local time,Open,High,Low,Close,Volume
26.01.2016 23:00:00.000 GMT+0100,1.08697,1.09164,1.08507,1.08932,307170.16819999996
27.01.2016 23:00:00.000 GMT+0100,1.08932,1.09676,1.08697,1.09391,316636.34849999996
28.01.2016 23:00:00.000 GMT+0100,1.09385,1.09485,1.08100,1.08300,347531.6971000001
31.01.2016 23:00:00.000 GMT+0100,1.08310,1.09128,1.08147,1.08877,290960.0588
01.02.2016 23:00:00.000 GMT+0100,1.08878,1.09399,1.08833,1.09184,287426.9588
02.02.2016 23:00:00.000 GMT+0100,1.09184,1.11455,1.09038,1.11029,354030.34979999997
03.02.2016 23:00:00.000 GMT+0100,1.11033,1.12389,1.10696,1.12072,379702.2602000001
04.02.2016 23:00:00.000 GMT+0100,1.12070,1.12470,1.11088,1.11561,332767.9636
07.02.2016 23:00:00.000 GMT+0100,1.11420,1.12159,1.10865,1.11926,358101.85890000005
08.02.2016 23:00:00.000 GMT+0100,1.11926,1.13379,1.11624,1.12923,402725.329
09.02.2016 23:00:00.000 GMT+0100,1.12928,1.13115,1.11606,1.12890,411370.43119999993
10.02.2016 23:00:00.000 GMT+0100,1.12884,1.13762,1.12741,1.13224,416562.01540000003
11.02.2016 23:00:00.000 GMT+0100,1.13225,1.13338,1.12141,1.12532,350697.6499
14.02.2016 23:00:00.000 GMT+0100,1.12347,1.12499,1.11280,1.11544,262263.81070000003
15.02.2016 23:00:00.000 GMT+0100,1.11544,1.11931,1.11242,1.11433,329522.20160000003
16.02.2016 23:00:00.000 GMT+0100,1.11435,1.11790,1.11060,1.11267,335300.4905
17.02.2016 23:00:00.000 GMT+0100,1.11271,1.11497,1.10710,1.11062,346184.9183
18.02.2016 23:00:00.000 GMT+0100,1.11058,1.11392,1.10669,1.11284,327867.4077999999
21.02.2016 23:00:00.000 GMT+0100,1.11103,1.11246,1.10032,1.10292,325794.80039999995
22.02.2016 23:00:00.000 GMT+0100,1.10292,1.10527,1.09901,1.10190,325335.62899999996
23.02.2016 23:00:00.000 GMT+0100,1.10187,1.10461,1.09573,1.10132,361199.4317
24.02.2016 23:00:00.000 GMT+0100,1.10132,1.10498,1.09867,1.10176,339627.55370000005
