Local time,Open,High,Low,Close,Volume
21.10.2019 23:00:00.000 GMT+0200,1.11487,1.11568,1.11176,1.11243,124844.3603
22.10.2019 23:00:00.000 GMT+0200,1.11242,1.11405,1.11061,1.11297,114032.9304
23.10.2019 23:00:00.000 GMT+0200,1.11296,1.11627,1.10930,1.11037,147677.30959999998
24.10.2019 23:00:00.000 GMT+0200,1.11036,1.11229,1.10729,1.10790,104934.82030000004
27.10.2019 22:00:00.000 GMT+0100,1.10800,1.11065,1.10760,1.10991,104812.4006
28.10.2019 22:00:00.000 GMT+0100,1.10990,1.11183,1.10735,1.11118,124459.5601
29.10.2019 22:00:00.000 GMT+0100,1.11117,1.11516,1.10801,1.11501,136266.8298
30.10.2019 22:00:00.000 GMT+0100,1.11499,1.11755,1.11314,1.11513,150194.8305
31.10.2019 22:00:00.000 GMT+0100,1.11511,1.11718,1.11281,1.11641,129928.8077
03.11.2019 23:00:00.000 GMT+0100,1.11684,1.11753,1.11247,1.11272,107148.78980000001
04.11.2019 23:00:00.000 GMT+0100,1.11269,1.11401,1.10635,1.10742,153935.2961
05.11.2019 23:00:00.000 GMT+0100,1.10742,1.10928,1.10651,1.10658,124707.9111
06.11.2019 23:00:00.000 GMT+0100,1.10658,1.10914,1.10360,1.10497,154958.2407
07.11.2019 23:00:00.000 GMT+0100,1.10492,1.10554,1.10167,1.10176,118808.3556
10.11.2019 23:00:00.000 GMT+0100,1.10230,1.10430,1.10163,1.10323,86619.7609
11.11.2019 23:00:00.000 GMT+0100,1.10323,1.10385,1.10025,1.10088,118944.2526
12.11.2019 23:00:00.000 GMT+0100,1.10089,1.10203,1.09953,1.10053,121585.65449999999
13.11.2019 23:00:00.000 GMT+0100,1.10052,1.10274,1.09890,1.10204,116008.81559999999
14.11.2019 23:00:00.000 GMT+0100,1.10202,1.10569,1.10145,1.10494,112191.4894
17.11.2019 23:00:00.000 GMT+0100,1.10489,1.10899,1.10487,1.10718,115091.68299999999
18.11.2019 23:00:00.000 GMT+0100,1.10711,1.10839,1.10626,1.10780,104791.77939999998
19.11.2019 23:00:00.000 GMT+0100,1.10777,1.10813,1.10530,1.10723,133794.66770000002
20.11.2019 23:00:00.000 GMT+0100,1.10723,1.10969,1.10522,1.10581,125561.43459999998
21.11.2019 23:00:00.000 GMT+0100,1.10580,1.10872,1.10143,1.10179,179983.9703
24.11.2019 23:00:00.000 GMT+0100,1.10170,1.10321,1.10035,1.10126,115410.0332
25.11.2019 23:00:00.000 GMT+0100,1.10115,1.10256,1.10071,1.10194,112111.72510000001
26.11.2019 23:00:00.000 GMT+0100,1.10194,1.10246,1.09922,1.09989,116458.65069999998
27.11.2019 23:00:00.000 GMT+0100,1.09987,1.10179,1.09986,1.10067,72867.88039999998
28.11.2019 23:00:00.000 GMT+0100,1.10059,1.10282,1.09811,1.10150,106015.9257
01.12.2019 23:00:00.000 GMT+0100,1.10229,1.10907,1.10029,1.10784,132862.7052
02.12.2019 23:00:00.000 GMT+0100,1.10782,1.10934,1.10660,1.10809,129495.5909
