Local time,Open,High,Low,Close,Volume
22.10.2023 23:00:00.000 GMT+0200,1.05995,1.06781,1.05717,1.06703,262849.4936
23.10.2023 23:00:00.000 GMT+0200,1.06710,1.06946,1.05833,1.05908,283438.3584
24.10.2023 23:00:00.000 GMT+0200,1.05908,1.06069,1.05659,1.05670,284356.92949999997
25.10.2023 23:00:00.000 GMT+0200,1.05677,1.05726,1.05224,1.05632,292475.81109999993
26.10.2023 23:00:00.000 GMT+0200,1.05633,1.05972,1.05355,1.05647,284583.9692
29.10.2023 22:00:00.000 GMT+0100,1.05764,1.06252,1.05474,1.06158,233231.31149999998
30.10.2023 22:00:00.000 GMT+0100,1.06158,1.06750,1.05576,1.05771,301776.51810000004
31.10.2023 22:00:00.000 GMT+0100,1.05771,1.05808,1.05171,1.05710,342185.9042
01.11.2023 22:00:00.000 GMT+0100,1.05710,1.06678,1.05685,1.06226,279341.802
02.11.2023 22:00:00.000 GMT+0100,1.06226,1.07468,1.06150,1.07337,287897.0469
05.11.2023 23:00:00.000 GMT+0100,1.07284,1.07565,1.07165,1.07183,201749.6097
06.11.2023 23:00:00.000 GMT+0100,1.07182,1.07231,1.06643,1.07006,274525.6523
07.11.2023 23:00:00.000 GMT+0100,1.07006,1.07162,1.06595,1.07095,240096.4289
08.11.2023 23:00:00.000 GMT+0100,1.07095,1.07256,1.06603,1.06684,300090.15880000003
09.11.2023 23:00:00.000 GMT+0100,1.06683,1.06929,1.06563,1.06887,226492.7868
12.11.2023 23:00:00.000 GMT+0100,1.06887,1.07063,1.06652,1.06988,195335.55120000002
13.11.2023 23:00:00.000 GMT+0100,1.06989,1.08877,1.06931,1.08797,279145.1508
14.11.2023 23:00:00.000 GMT+0100,1.08799,1.08860,1.08317,1.08485,260186.9687
15.11.2023 23:00:00.000 GMT+0100,1.08494,1.08957,1.08302,1.08528,246768.5286
16.11.2023 23:00:00.000 GMT+0100,1.08531,1.09180,1.08249,1.09180,262458.6602
19.11.2023 23:00:00.000 GMT+0100,1.09162,1.09520,1.08977,1.09405,234243.89019999997
20.11.2023 23:00:00.000 GMT+0100,1.09406,1.09653,1.09003,1.09113,253367.43940000003
21.11.2023 23:00:00.000 GMT+0100,1.09118,1.09231,1.08524,1.08893,269069.71829999995
