Local time,Open,High,Low,Close,Volume
23.10.2023 23:00:00.000 GMT+0200,1.06686,1.06942,1.05830,1.05895,273200.228
24.10.2023 23:00:00.000 GMT+0200,1.05893,1.06067,1.05653,1.05653,246435.7613
25.10.2023 23:00:00.000 GMT+0200,1.05650,1.05691,1.05221,1.05618,285906.1083
26.10.2023 23:00:00.000 GMT+0200,1.05618,1.05970,1.05354,1.05605,224356.94009999998
27.10.2023 23:00:00.000 GMT+0200,1.05605,1.05605,1.05605,1.05605,0
28.10.2023 23:00:00.000 GMT+0200,1.05605,1.05605,1.05605,1.05605,0
29.10.2023 22:00:00.000 GMT+0100,1.05644,1.06250,1.05471,1.06144,230598.76810000002
30.10.2023 22:00:00.000 GMT+0100,1.06145,1.06748,1.05574,1.05725,317837.128
31.10.2023 22:00:00.000 GMT+0100,1.05721,1.05806,1.05167,1.05697,371904.79120000004
01.11.2023 22:00:00.000 GMT+0100,1.05694,1.06675,1.05667,1.06211,288826.1489
02.11.2023 22:00:00.000 GMT+0100,1.06213,1.07467,1.06146,1.07295,283436.2067
03.11.2023 22:00:00.000 GMT+0100,1.07295,1.07295,1.07295,1.07295,0
04.11.2023 22:00:00.000 GMT+0100,1.07295,1.07295,1.07295,1.07295,0
05.11.2023 23:00:00.000 GMT+0100,1.07232,1.07562,1.07161,1.07168,206664.38900000002
06.11.2023 23:00:00.000 GMT+0100,1.07168,1.07221,1.06640,1.06992,243521.37010000003
07.11.2023 23:00:00.000 GMT+0100,1.06993,1.07160,1.06593,1.07080,226873.82030000002
08.11.2023 23:00:00.000 GMT+0100,1.07079,1.07254,1.06601,1.06671,278714.4865
09.11.2023 23:00:00.000 GMT+0100,1.06671,1.06927,1.06560,1.06848,229592.99000000002
10.11.2023 23:00:00.000 GMT+0100,1.06848,1.06848,1.06848,1.06848,0
11.11.2023 23:00:00.000 GMT+0100,1.06848,1.06848,1.06848,1.06848,0
12.11.2023 23:00:00.000 GMT+0100,1.06818,1.07061,1.06650,1.06975,186435.63
13.11.2023 23:00:00.000 GMT+0100,1.06975,1.08875,1.06928,1.08784,297411.8004
14.11.2023 23:00:00.000 GMT+0100,1.08784,1.08858,1.08315,1.08461,275682.3702
15.11.2023 23:00:00.000 GMT+0100,1.08461,1.08955,1.08300,1.08517,258753.15259999997
16.11.2023 23:00:00.000 GMT+0100,1.08517,1.09148,1.08247,1.09138,264539.4181
17.11.2023 23:00:00.000 GMT+0100,1.09138,1.09138,1.09138,1.09138,0
18.11.2023 23:00:00.000 GMT+0100,1.09138,1.09138,1.09138,1.09138,0
19.11.2023 23:00:00.000 GMT+0100,1.09095,1.09517,1.08974,1.09394,231766.60009999998
20.11.2023 23:00:00.000 GMT+0100,1.09394,1.09651,1.09001,1.09101,267929.7489
21.11.2023 23:00:00.000 GMT+0100,1.09100,1.09229,1.08522,1.08881,291505.9499
22.11.2023 23:00:00.000 GMT+0100,1.08875,1.09303,1.08834,1.09037,157936.77019999997
23.11.2023 23:00:00.000 GMT+0100,1.09037,1.09486,1.08949,1.09341,179730.17950000003
24.11.2023 23:00:00.000 GMT+0100,1.09341,1.09341,1.09341,1.09341,0
25.11.2023 23:00:00.000 GMT+0100,1.09341,1.09341,1.09341,1.09341,0
26.11.2023 23:00:00.000 GMT+0100,1.09438,1.09592,1.09251,1.09531,247247.28
27.11.2023 23:00:00.000 GMT+0100,1.09528,1.10088,1.09344,1.09918,292988.8127
28.11.2023 23:00:00.000 GMT+0100,1.09918,1.10171,1.09601,1.09686,319533.61519999994
29.11.2023 23:00:00.000 GMT+0100,1.09681,1.09838,1.08794,1.08865,337012.32379999995
30.11.2023 23:00:00.000 GMT+0100,1.08854,1.09127,1.08287,1.08788,347294.65849999996
01.12.2023 23:00:00.000 GMT+0100,1.08788,1.08788,1.08788,1.08788,0
02.12.2023 23:00:00.000 GMT+0100,1.08788,1.08788,1.08788,1.08788,0
